#name	ra	dec	avgflux	peakflux
GB6J1542+6129	235.7372	61.49867	152.375	185
S31741+19	265.99097	19.58584	149.4	164
S50238+711	40.87871	71.33831	148.2727273	206
PMNJ1420-1118	215.2505	-11.30567	148	148
MG1J114208+1547	175.53223	15.79838	147.6	164
TXS0954+556	149.40909	55.3827	145	145
3C264	176.27087	19.60632	141.3333333	147
GB6J0154+0823	28.51154	8.39752	137.125	205
CRATESJ1640+1144	250.24539	11.7345	135.4285714	144
RGBJ0013+191	3.4849	19.17831	133.125	171
1ES0806+524	122.45494	52.31618	131.8125	153
TXS1902+556	285.79837	55.67735	128.3333333	191
TXS0836+182	129.878	18.04643	127.3333333	136
SBS1200+608	180.7646	60.52199	126.2	132
IZw187	262.0776	50.21957	125.375	152
NVSSJ210217+470216	315.57108	47.03785	123.1666667	154
1ES2344+514	356.77014	51.70497	117.2	146
GB6J1037+5711	159.43462	57.19879	116	117
MG4J200112+4352	300.30365	43.88134	115.3333333	138
TXS0128+554	22.80762	55.75356	111.3333333	114
PG1246+586	192.07828	58.34131	110.6	142
IC310	49.17927	41.32477	105.375	112
TXS0210+515	33.57473	51.74776	102.3333333	108
NVSSJ024948+843556	42.45175	84.59903	102	109
TXS1549+089	238.0136	8.84648	88.14285714	99
Ton1015	137.65431	33.49012	88	101
CRATESJ1830+1324	277.50333	13.40389	81.85714286	133
B20912+29	138.96834	29.55668	80.85714286	105
NVSSJ194247+103327	295.69785	10.55752	80.66666667	97
TXS0329+654	53.48641	65.61561	61.85714286	74
B21229+29	187.93156	28.79714	47.5	54
B30133+388	24.13583	39.09978	7	7
PKS1519-273	230.65698	-27.503	916.166666667	1163.0
